Product,Usage Identifier,nrFpuEdition,nrUnitOfMeasure
New Relic Savings Plan - Interactive Application Security Testing (IAST) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - Interactive Application Security Testing (IAST) Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - Live Archives (EU Data Center) Usage Quantity,EU GB Months,,EU GB Months
New Relic Savings Plan - Live Archives (US Data Center) Usage Quantity,US GB Months,,US GB Months
New Relic Savings Plan - Logs Obfuscation (NLO) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - Logs Obfuscation (NLO) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - Logs Obfuscation (NLO) Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - Pilot Pricing Usage Quantity,Units,,Units
New Relic Savings Plan - PrivateLink (NPL) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - PrivateLink (NPL) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - PrivateLink (NPL) Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - Pro Compute (EU Data Center) Usage Quantity,EU CCU,,EU CCU
New Relic Savings Plan - Pro Compute (US Data Center) Usage Quantity,US CCU,,US CCU
New Relic Savings Plan - Pro Compute Add On (EU DC) Usage Quantity,EU CCU,,EU CCU
New Relic Savings Plan - Pro Compute Add On (US DC) Usage Quantity,US CCU,,US CCU
New Relic Savings Plan - Pro Core Compute (EU DC) Usage Quantity,EU Core CCU,,EU Core CCU
New Relic Savings Plan - Pro Core Compute (US DC) Usage Quantity,US Core CCU,,US Core CCU
New Relic Savings Plan - Pro O11y For All (EU DC) Usage Quantity,EU Core CCU,,EU Core CCU
New Relic Savings Plan - Pro O11y For All (US DC) Usage Quantity,US Core CCU,,US Core CCU
New Relic Savings Plan - Pro Queries Usage Quantity,Scanned Events (In Billions),,Scanned Events (In Billions)
New Relic Savings Plan - Standard Queries Usage Quantity,Scanned Events (In Billions),,Scanned Events (In Billions)
New Relic Savings Plan - Stream Data Export (SDE) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - Stream Data Export (SDE) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - Stream Data Export (SDE) Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - Vulnerability Management (EU Data Center) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - Vulnerability Management (NVM) (EU DC) Usage Quantity,EU GB Ingested,,EU GB Ingested
New Relic Savings Plan - Vulnerability Management (NVM) (US DC) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - Vulnerability Management (NVM) Usage Quantity,GB Ingested,,GB Ingested
New Relic Savings Plan - Vulnerability Management (US Data Center) Usage Quantity,US GB Ingested,,US GB Ingested
New Relic Savings Plan - Vulnerability Management Usage Quantity,GB Ingested,,GB Ingested
